Pattern;ID;Instances
[-2, 1, 1, 1, 1, 1];smx2uzgdpf;11
[-3, 1, 4, 3, 4, 1];5vlb8v2lkd;11
[-4, 5, 2, 1, 2, 2];pvlcb1uzpu;11
[0, 2, -2, 2, -2, 2];uhgqsvkg4i;11
[1, -1, -2, 2, 1, -1, -2];yn7un54wwu;11
[1, 1, -2, 1, -1, -1, -1, -1];al7x04lh56;11
[1, 1, 2, 2, 2, 1];os4wyraf2f;11
[1, 2, 1, 1, 3, -3];5vqdbn3ghs;11
[2, 1, 1, 1, 2, 1];sulqpqsqt4;11
[2, 2, -4, 2, 2, 1];o3zgwf6fsu;11
[3, -3, -2, -2, -3, -2];ti7zjodzis;11
[3, 2, 1, 2, 2, 2];a2p467zxm7;11
[4, -2, -2, -1, -1, -1];5pg6m59xtl;11
[-1, -1, -1, -1, -1, 4, -5];5x6oqkfl7a;10
[-1, -2, -1, -2, -1, -2, -2];34y5semfyd;10
[-1, -2, -1, -2, -2, 2, 2, 3];4xrnx1cwtn;10
[-1, -2, -1, -4, 2, 2];orhl94uzj4;10
[-1, -2, -2, -1, -1, 2, 2];zzyz4e7lty;10
[-1, 1, -1, -1, -1, 2];zwil5o23pr;10
[-2, -1, -2, -2, -3, -2, -2];2s37t82rw6;10
[-2, -1, -9, 3, 3, -1, -2];lb3on64555;10
[-2, 1, -1, -1, -1, -2];lr45eeu70z;10
[-3, -2, -1, -1, -1, -1];1h1yxco9j0;10
[-3, 1, -1, -1, -1, -1];6hybym9nid;10
[-3, 1, -2, 1, -1, -1, -1];mizifby78p;10
[1, 2, -1, -1, -1, -1];md5qh7gtk0;10
[1, 2, -2, -2, -1, -2];utscxnqlqj;10
[1, 2, 1, 1, 1, 1, 1, 1];35hshqexyi;10
[1, 2, 1, 2, 2, 2, 2];qjs9vo2er2;10
[1, 2, 2, 2, 1, -1, -2];6kwehzmxjt;10
[1, 2, 2, 2, 3, -1];5qjve7i9op;10
[1, 3, 4, 3, -3, 1];rjl9ytq00t;10
[2, 3, -2, -1, 1, 4];6m4mgps0ob;10
[3, -2, -1, -2, -2, -3];frymksws5v;10
[3, 4, 1, -1, -2, -2];bekgnuj7ih;10
[4, 3, 4, -1, -1, -1];6w3p29b53v;10
[-1, -2, -1, -2, 1, 2, 2, 1, 2];sy1i05pigh;9
[-1, -2, -1, 3, 4, 3];ntf33hb423;9
[-1, -2, -2, -1, 3, 3, 3];p5a57kokzr;9
[-1, 1, 1, -1, -1, 1, 1, -1, -1, 1];ooskoz8id5;9
[-2, -1, -2, -1, -9, 3, 3];qbbimi34u3;9
[-2, -2, -1, -1, 2, 2, 3, 4];yt7r7t8eu7;9
[-2, -2, -1, -2, -1, 3, 3, 3];y1o6rew409;9
[-3, -2, -2, -3, 3, 2];jkal1jlue8;9
[-3, 1, -2, -1, -2, -2];9a6eiqnwez;9
[-3, 1, 1, -4, 1, 1];nr4rrwuje6;9
[0, 0, 0, -2, 2, 0];6q1j9wmpxi;9
[1, -2, 1, -2, 1, 2];72py15can9;9
[1, 1, -1, 1, -1, 1, -1, 1];r2uaukxshx;9
[1, 1, 2, 2, 1, 1];h4q6fn17i8;9
[1, 2, 1, -2, 1, -2];kymzu37iv8;9
[1, 2, 2, 1, 3, 1];fv885v0oc2;9
[2, 1, -1, -1, 2, 1];ot872oj8lr;9
[2, 1, 2, -2, -1, -2, -1];jso2isoeic;9
[2, 2, 3, -3, -2, -2, -3];1tbhyejkr2;9
[2, 2, 3, 2, 1, 2];4g5wbij63q;9
[4, -2, -2, -2, -1, -2, -2];st80bf1lmb;9
[-1, -1, -1, -1, 2, 2, -4, 2];pnyqy3rsvd;8
[-1, -1, -1, 2, 1, 2, -3];6cehoeoq7e;8
[-1, -1, -1, 4, -2, -2];au8si89lsk;8
[-1, -1, -2, -2, -1, -2, -2, -2];naakkoav0k;8
[-1, -1, 4, -2, -2, -1, -2];yebc53gm5h;8
[-1, -1, 4, -2, -4, -3];imwgyokbgl;8
[-1, -2, -1, -9, 3, 3, -1, -2];p8dgczupg2;8
[-1, -2, -2, -2, -2, -3];d2akhdestq;8
[-2, -1, -2, -1, -1, -1, 2];ukkuh3daa0;8
[-2, -1, -2, -1, -2, 1, 2, 2, 1, 2];dm23s7t5bw;8
[-2, -1, -2, -2, -1, 3, 3];29lkpzz1jz;8
[-2, -1, 3, -2, 2, 1, 2];y6iqj90cxa;8
[-2, -3, 2, 1, 2, 2];016bvnpgzz;8
[-3, -2, -2, -1, -1, 2];8385vzr8oz;8
[-4, -1, -1, -1, 2, 1, 2];vl00oljoe9;8
[1, -2, 1, -2, -1, 3];3x4xqci269;8
[1, -2, 1, 1, 1, 1];daloby2gbq;8
[1, 2, -2, -1, -2, -1, 3];xeoxdxkqfo;8
[2, -2, -1, 1, 4, 3];x08537rt6a;8
[2, 1, 2, 2, -2, -3];wdwg4u1m54;8
[2, 1, 2, 2, 1, -1, -1];y5ktycgryo;8
[2, 2, 2, 1, 2, 2, -4];b7fii848pr;8
[2, 2, 2, 3, 2, 1, 2];p38jvgjcgr;8
[2, 2, 3, -1, -2, -1];zc3ekkcy94;8
[3, 4, 3, -2, 2, 2];xcz8zegx27;8
[-1, -1, -1, 4, -2, -4];ijy5kjrtkd;7
[-1, -1, -3, 1, -2, 1];pfh1ef690t;7
[-1, -1, -5, -3, 5, -2];qliaye5loe;7
[-2, -1, -2, -1, -4, 2, 2];7aw0ib2yt0;7
[-2, -1, -4, 2, 2, 1, 2];5lqnwyr6bt;7
[-2, -2, -1, -2, -2, -1, 3, 3];3gollut1gc;7
[-2, -2, -1, 3, 3, 3, -1];16gq8m4u39;7
[-2, -2, -3, -4, -3, 9];idtqjf6ghv;7
[-2, -2, 2, 2, 3, 5, -3];edybpl134w;7
[-2, -3, 1, 2, 2, 1];f2xkg5gutc;7
[-2, 1, -2, -1, 3, 3];5i910q3ukd;7
[-2, 1, 1, 1, 1, 1, 1];08ouedzlvp;7
[-2, 1, 3, 2, 2, 3];67vmk0q57n;7
[-2, 2, -2, -3, 2, -2];pr1c9koj7g;7
[-3, -4, -3, 9, -2, -2, -2];livbcdoe31;7
[-3, 1, -2, 1, -1, -1, -1, -1];to9nam8dzp;7
[-3, 1, 0, -1, -1, -1, -1, -1];k5xv171zhb;7
[-4, -1, -2, 5, -2, -3];csfpv7v6hs;7
[1, 1, -2, -2, -1, -2];8b1aev7pl7;7
[1, 2, -2, -1, -4, -3];do09gqkuqx;7
[1, 2, -2, -1, 1, 4];yil7ikwz7m;7
[10, -1, -5, 3, -2, -1];tq0djk8j8f;7
[2, -4, -1, -2, 5, -1, -1, -1];pr7zptgtof;7
[2, 2, 1, 2, 2, 1, 2, -3, 1];409gtz38wi;7
[2, 2, 2, 1, -2, 1];elivpur9wx;7
[2, 2, 2, 2, 1, 2, 1, 2];q1gbekng4y;7
[2, 3, 2, 3, 2, -2];69a02fsxg0;7
[3, -1, -2, -1, 3, -2];aelo9ddh05;7
[3, -2, -1, -2, -2, -2];b0cntdb691;7
[3, -2, 2, 2, 3, 2];dt37i4q6gu;7
[3, 3, 3, -3, 1, 1, -2];oqqj8n9v0g;7
[3, 4, -2, -1, -2, -1];8mvb7ddwui;7
[3, 4, 3, -3, 1, 1];2qu1tq3x2m;7
[-1, -1, -1, -1, 2, 1, -2, 1, -1, -1, 4];jtje0677b8;6
[-1, -1, 2, 2, 2, 2];oh37ukku8d;6
[-1, -1, 4, -1, -5, -3, -2, 7, -2];bunf1qe2qu;6
[-1, -2, -1, -2, 1, 2, 1];5m050iu134;6
[-1, -3, 1, 2, -2, -1];1jpo7jo17j;6
[-2, -1, -2, -1, -2, -2, 2];q3t5yt9m0i;6
[-2, -2, -1, -2, -1, -1, -1, -1, -1];z9qv0flj94;6
[-2, -2, -1, -2, -1, -1, -1, 2];6600rt9hvz;6
[-2, -3, -4, 2, 2, 3];kg0mhzrpuh;6
[-2, 1, -4, -1, -1, -1];eemfiyd035;6
[-2, 2, 2, 3, 2, 3];bbz506uf47;6
[-3, 1, -4, 3, -3, 1];sizqi2k1gt;6
[-3, 1, 1, -2, -1, 3];leny5g0cts;6
[-3, 1, 2, -2, -1, -4];ht2r9lvcq7;6
[-3, 3, 2, 2, 3, -3];70ueipyf1b;6
[-4, -1, -2, -1, -2, -2];gjvr7hhx3e;6
[0, 0, 0, 0, 1, 2];iub4okdx12;6
[1, -2, 1, -1, -1, -1, -1, 2, 2];3ophj7rvcv;6
[1, -4, -3, -1, -2, -1];n7uyhp64zn;6
[1, 1, 1, 1, 2, 1, 2, 2];tc7dgh9sgi;6
[1, 1, 1, 2, -2, -2, -1];j12f9r20mt;6
[1, 2, 1, 2, 2, 2, 2, 1];gjyj6hrb76;6
[1, 2, 2, 1, 2, 2, 2, 1, -1];12hhdrewal;6
[1, 2, 2, 2, 1, -1, -1, 2];t82v81b8nk;6
[1, 3, 4, 3, -2, -1];hnpjg67lhs;6
[2, 1, -2, 1, -2, 1];f5z2uluvuf;6
[2, 1, 2, 1, 1, 1, 1, 1, 1];c0rglmvp64;6
[2, 1, 2, 2, 2, 1, -1, -2];qdbnfe4xqc;6
[2, 2, -9, 5, 2, 2];7jttj7v0sy;6
[2, 2, 1, 2, 0, 0];xhwvrrt26a;6
[2, 2, 3, -3, -4, -3];tvnl82mgy1;6
[2, 3, -2, -1, 1, 4, 3];42g6atieo0;6
[2, 3, 2, 1, 2, 2, 2];5p2fu9a2qy;6
[2, 3, 2, 2, -4, 2];z76twjs9hh;6
[3, -1, -2, -1, 3, 3];tf4c65evq2;6
[3, -3, 1, -2, -1, -2, -2];8mjts85qhq;6
[3, -3, 3, -3, -2, -2];z1w6y1jodt;6
[3, 2, 2, 3, -3, -2];ru69ti79ld;6
[3, 3, 3, -1, -2, -1];xpg5pxl6tf;6
[4, 3, 4, -1, -1, -1, -1];4tmv25mg66;6
[5, 2, 1, 2, 2, -2];k4gi69g68s;6
[-1, -1, -1, -1, -1, 4, -3];i2rwjx7zvd;5
[-1, -1, -1, -1, 3, -4];2asgwjj7lu;5
[-1, -1, -1, -1, 4, -2, -2];jinbs1qoq4;5
[-1, -1, -1, 2, -2, 2];v7n7k7irtm;5
[-1, -1, 2, -1, -1, -1, -1, -1, 2, 1, -2, 1, -1];egfik3q5yc;5
[-1, -1, 2, 2, 3, 4, 3];8rlzs6zlxq;5
[-1, -1, 4, -2, -2, -1, -2, -2];bsj683fct9;5
[-1, -2, -2, 0, 2, 2];os2hy2tgly;5
[-1, -2, -2, 2, 3, 2];qg0keg2i5o;5
[-1, 1, 2, 2, 2, 1, 2];w6ua4xftdy;5
[-2, -1, -2, 1, 2, 2, 2, 1];ltvr04erm4;5
[-2, -1, 1, 4, 3, 2, 2];3xviz0cday;5
[-2, -2, -1, 3, 3, 4, -2];ma0lmitg54;5
[-2, 1, 0, 0, 0, 0];xziqpilut9;5
[-3, -2, -2, -1, 2, 2];11v6orrqly;5
[-3, -2, 5, 1, -1, -1];9twd94syd0;5
[-3, 5, -3, 1, 2, 1];bxmwe3tcto;5
[-4, -1, 3, -2, -3, -1, 3, -2];inx7ohs7g4;5
[0, 0, 0, 1, -1, 1];4wscztvxsm;5
[1, -1, -1, -1, 2, -2, -1];vpzsmxrbi2;5
[1, -1, -2, -2, -1, -1, 4];jg1mv6asqd;5
[1, -1, 1, -1, 1, -2, -2];mp8vm4ktkk;5
[1, -2, -2, -1, -1, -1, -1];nm6ps0uaqv;5
[1, 1, -2, 1, -1, -1, -1, -1, 2, 2];cm70ig7gcs;5
[1, 2, 2, 2, 2, 1, 2, 1];w5lnewoj75;5
[2, -2, -3, 2, -2, -2];iol0gpleui;5
[2, -2, 1, 1, -2, 2];b7ika4xfnx;5
[2, -4, -3, 5, -3, -4, 5];yvef7cyicm;5
[2, 1, -1, -1, 2, 1, 1];s2gb8gginz;5
[2, 2, 1, 2, 1, -3];9x9veu9c6u;5
[2, 2, 2, 2, 1, 2, 1, 2, 2];zd88cvuot0;5
[2, 2, 2, 3, -1, -1];odqpwcrq7t;5
[2, 2, 3, -6, 2, 2];veg2b81c76;5
[2, 3, -1, -2, 1, -3];hohxq6ue5j;5
[3, -2, -3, -2, 5, 1];5ay1hus7gl;5
[3, 1, -1, 1, -1, 1, -1];1qui2fzo2r;5
[3, 2, 1, 2, -2, -1];4e5ouyygsb;5
[3, 3, -1, -1, -1, -3];etlcspdn76;5
[5, -3, 1, 2, 1, 2, 2];pq7luuzvte;5
[-1, -1, -1, -1, 2, 1, -2, 1, -1, -1, 4, -2];eeow0rla09;4
[-1, -1, -1, -1, 2, 2, -4, 2, -1, -1, 4, -2];kgyefj1zpy;4
[-1, -1, -1, -1, 4, -3, 1];kzo8eyvxh4;4
[-1, -1, 2, -1, -1, -1, -1, -1, 2, 1, -2, 1, -1, -1, 4];csl0dt5cyr;4
[-1, -1, 2, -1, -1, -1, -1, -1, 2, 2];joo1mtedjv;4
[-1, -1, 3, -2, -3, -2, 5, 1];rejk96ull1;4
[-1, -2, -2, -1, 3, 3, 3, -1];wdn7b6chvb;4
[-1, -2, -2, -1, 3, 3, 4, -2];860jytxmd9;4
[-1, 2, 2, 2, 1, 2, 2];vic14w3ewz;4
[-2, -1, -2, -1, -2, 1, 2, 2, 1, 2, 2];vzxz85df00;4
[-2, -1, -2, -2, -1, 3, 3, 4];61i6pvw69w;4
[-2, -1, -2, -2, 2, 5];j2j43ha21n;4
[-2, -1, 3, -3, -2, -2, 2];9z3q4pu9kb;4
[-2, -1, 3, -3, 1, -5];9z2qqj2xud;4
[-2, -2, -1, -2, -2, -1, 3, 3, 4];u5txcenoz5;4
[-2, -3, -2, 5, 1, -1, -1];2hjnh6mi2g;4
[-2, -8, 1, 5, -1, -4];vroayzyqlv;4
[-2, 1, -1, -1, 2, 1];v90n4ll30p;4
[-2, 1, -1, -1, 4, -3];m06xkzdtta;4
[-2, 1, -4, -4, -4, 7];l6mfnylt0r;4
[-2, 1, 2, 2, 1, 2, 2, 2];i4a5bxiwbi;4
[-3, -2, -2, -3, -2, -3, 5];vl6343v4k3;4
[-3, -2, -2, 2, 2, -4, 2];3mt792ctc1;4
[-3, 1, 1, 1, 2, 2, 2];tamz3docum;4
[-3, 2, 3, -2, -1, 1, 4];hgmjioug88;4
[-3, 2, 3, -2, -1, 1];hbrwbby9j3;4
[-4, -1, -1, -1, 2, 2];s1yzzqb9kq;4
[-4, -1, -1, 2, 2, 3];1iu9fngatj;4
[-4, -1, -2, -1, 1, 5, -2];5od395nl0g;4
[-5, 3, -3, -2, -2, -3];zmce4quvxe;4
[1, -1, -1, -1, -1, 2, 2, -4];7hq3jo5t7k;4
[1, -1, 1, -2, -2, -5];19xyqe3tra;4
[1, 1, 1, 2, -2, -2, -1, -2];tnh0wx3qvd;4
[1, 2, 2, 1, 1, -1];mfn4bap4my;4
[1, 2, 2, 2, 1, -1, -1, 2, 1];ug7wibjrzq;4
[2, -2, -3, 3, -3, 0];9x7sb5opzt;4
[2, 1, -2, 1, -1, -1, -1];6m7tyq16bx;4
[2, 1, 2, 2, 1, -1, -1, -1];osr8iqp3d7;4
[2, 1, 2, 2, 2, 2, 1, 2, 1];gsmtn0qmem;4
[2, 2, 1, 2, -3, 1, 4, 3];vumv9sna06;4
[2, 2, 1, 2, 2, 1, -1, -1];b5a0s35om1;4
[3, -2, 2, 2, 3, 5];oo9t2k27sm;4
[3, -3, -2, -2, -3, -2, -2];nyq283l0i9;4
[3, -3, 2, 3, 3, 3];hibty7xcml;4
[3, 2, 3, 1, 1, 1, 1];lbcvy94fkw;4
[3, 3, -1, -2, -1, 3];24h1x23c5i;4
[3, 3, 3, -1, -2, -3, 1];5tazogyxfd;4
[3, 4, -2, -1, -2, -1, -2];m59zzwnw60;4
[4, -2, -1, -2, -1, -2, -2];2cdkg5uuzi;4
[-1, -1, -1, 2, -1, -1, -1, -1, -1];zjpkml6sys;3
[-1, -1, -2, 1, 1, -2, 1];15mv5la9ej;3
[-1, -1, -3, 1, 2, -2, -1];k8ss2rp84r;3
[-1, -1, 1, -2, 1, -2, 1];hjuads3xjx;3
[-1, -1, 1, 3, 2, 1];vurupzdwtk;3
[-1, -1, 2, 2, 2, 1, 2, 2];empaqxsk2d;3
[-1, -1, 3, -2, -3, -2, -2];tis0humb24;3
[-1, -1, 3, -2, -3, -2, 5, 1, -1, -1];u6k5sejc5z;3
[-1, -1, 4, -2, -3, -4, -2];f4wh06w4dv;3
[-1, -2, -1, -1, -1, 2, -3];ic7nmq4vvd;3
[-1, -2, -2, -1, -1, 2, 2, 2, 1, 2];awnu394k64;3
[-2, -1, -4, -3, -2, 7];9c5j6o3gre;3
[-2, -1, -4, 2, 2, 1, 2, 2];w8qqk6ye0s;3
[-2, -1, 3, -3, 1, -5, -2];qs9ysdt0vc;3
[-2, -1, 3, 3, 3, -1, -2, -1];xesna3ol9l;3
[-2, -2, -3, -2, -1, -2];m4w0q88bqe;3
[-2, 1, -3, 1, 2, 2];32fm6xysm7;3
[-2, 1, 1, -2, 1, -1, -1];htbvdbwnn1;3
[-3, 1, 2, -2, -1, -4, -3];cr04x7y8qt;3
[-3, 5, -3, -4, 5, -1];kc9qwa75lo;3
[-4, -1, -1, -1, 2, 2, 3];nk2zdb236w;3
[-4, -3, -1, 2, 2, 3];b4nsej19e1;3
[-4, -3, 2, 3, -3, 1];rm9ufyp8ea;3
[-9, 2, 3, -1, -2, 1];gfpzbj4rx3;3
[0, -1, -1, -1, -1, -1, 3];mpddby7f37;3
[0, 0, -1, -2, 0, 0, 0, 0];l5s13byrqc;3
[0, 1, 2, 2, 2, -2, -2, -2, -1];ax9xd048p7;3
[1, -1, -1, -1, -1, 2, 1];4myk8topzl;3
[1, -1, -1, -3, -3, 3];ha74aq5gq5;3
[1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1];wj7nd9268x;3
[1, -1, -1, 4, -1, -5, -3, -2];bn8p8xvmzu;3
[1, -2, -1, 1, 4, 3, 2];2y6qgc5zse;3
[1, -2, 1, -1, -1, 4, -2, -3];8yflxjf2ai;3
[1, 1, -2, -1, 1, 4, 3];00k1jx6cd2;3
[1, 1, -2, 1, -1, -1, -1, -1, 2, 2, -4, 2];slfdsltn17;3
[1, 3, 4, 3, -2, -1, -2];xl6cizef0x;3
[2, 1, 1, 1, -1, -1, 4];d6hhbo4ziv;3
[2, 1, 2, 2, 3, -6];heoylotshl;3
[2, 2, -4, 2, -1, -1, 4, -2, -3];eep2xuesql;3
[3, -2, -1, -2, -1, -2, -2];13ujy4ekbv;3
[3, 4, 3, -2, -1, -2, -2];vphyv7dmh9;3
[4, -2, -2, -1, -2, -1, -1, -1];lcfatagwif;3
[5, -2, -2, -1, 5, -2, -2, -1, 5, -2, -2, -1, 5, -2, -2, -1];2tvgukrl76;3
[-1, -1, -1, -1, 2, 1, -2, 1, -1, -1, 4, -2, -3];oz4o1yfqkc;2
[-1, -1, -1, -1, 2, 2, -4, 2, -1, -1, 4, -2, -3];4gk30k80ob;2
[-1, -1, -1, -1, 2, 2, 3, -1];oni1nvmb7s;2
[-1, -1, -1, -2, 2, 1, 2, -3, -2];qu3t2jih4k;2
[-1, -1, -1, 1, 1, -2, 1, -1, -1, -1, -1];4exf79buer;2
[-1, -1, 4, -1, -5, -3, -2, 7, -2, -5];khq1o1w6as;2
[-1, 1, 0, -1, -1, -1, -1, 2];kymtdjirxm;2
[-1, 1, 1, -2, 1, -1, -1, -1, -1, 2];ticmdilwxc;2
[-2, -2, -1, 5, -2, -2, -1, 5, -2, -2, -1, 5, -2, -2, -1, 5, -2, -2, -1];yne347ko7x;2
[-3, 1, 1, -4, 1, 1, -2, -2, -1, -2, -2, -1, 3, 3];s9l5bpf6s3;2
[-3, 1, 1, -4, 1, 1, -2, -2];w55j9bbfei;2
[-4, -1, -1, 4, -2, -4, -3, 6];83x5a0a6sw;2
[-4, -3, 1, -4, -3, -4, 5];e1y4gik86b;2
[-4, -3, 2, -4, -3, -4, 5];mz2atyifiq;2
[-4, -4, 1, 2, 2, 3, 5];jt21nugvym;2
[-4, 4, 1, 2, -3, 1, 2];osvi3x2gpk;2
[1, -1, -1, 4, -1, -5, -3, -2, 7, -2];wel3x3e7oo;2
[1, -1, -1, 4, -2, -3, -4, -2];cyvkh0ozck;2
[2, -2, 1, -1, -1, 1, -2, -1, -1];nmglju7d4y;2
[2, -3, -2, -2, 2, 2, -4, 2, -2, -3];ea62zuq136;2
[2, 1, 2, -3, 3, 5, 2, 2];534ubs54ii;2
[3, -3, 1, 1, -4, 1, 1, -2, -2, -1, -2, -2, -1];5diypsgm16;2
[3, -3, 1, 1, -4, 1, 1, -2];jowjgcvhy7;2
[3, 4, 3, -3, 1, 1, -4, 1, 1, -2, -2, -1, -2, -2, -1];0de75ac7pd;2
[3, 4, 3, -3, 1, 1, -4, 1, 1, -2, -2, -1, -2, -2];ktqcqf8vak;2
[4, -4, 4, 2, 3, -5, 2, 3, 3, 4];eu907v34a9;2
[4, 3, -3, 1, 1, -4, 1, 1, -2, -2, -1, -2, -2, -1, 3, 3];23hjg2dlfx;2
[5, -5, -4, 4, -2, -5, -2];uytstxb3ut;2
[1, 3, 4, 3, -3, 1, 1, -4, 1, 1, -2, -2, -1];mqzkak64b8;1
[1, 3, 4, 3, -3, 1, 1, -4, 1, 1, -2, -2];og420b0r9z;1
[1, 3, 4, 3, -3, 1, 1, -4, 1, 1];drc13xfxji;1